iter	Passed	Remaining
0	186	37044
1	376	37264
2	569	37372
3	754	36990
4	946	36914
5	1134	36673
6	1339	36934
7	1541	36989
8	1728	36683
9	2058	39117
10	2285	39265
11	2500	39171
12	2704	38903
13	2898	38513
14	3081	38009
15	3284	37767
16	3483	37499
17	3684	37252
18	3885	37014
19	4082	36745
20	4272	36415
21	4487	36305
22	4683	36040
23	4880	35791
24	5068	35478
25	5281	35348
26	5482	35130
27	5676	34872
28	5872	34627
29	6039	34221
30	6238	34007
31	6434	33782
32	6632	33566
33	6819	33297
34	6992	32966
35	7188	32746
36	7377	32499
37	7574	32291
38	7766	32062
39	7967	31868
40	8168	31678
41	8367	31477
42	8560	31255
43	8749	31022
44	8942	30801
45	9129	30564
46	9325	30358
47	9519	30146
48	9713	29932
49	9896	29690
50	10088	29474
51	10285	29273
52	10481	29070
53	10678	28872
54	10854	28617
55	11048	28410
56	11242	28206
57	11437	28001
58	11641	27820
59	11840	27628
60	12031	27415
61	12224	27209
62	12417	27002
63	12607	26790
64	12776	26536
65	12973	26339
66	13171	26146
67	13361	25937
68	13550	25725
69	13747	25531
70	13941	25329
71	14137	25133
72	14303	24884
73	14471	24641
74	14667	24446
75	14867	24257
76	15064	24063
77	15260	23868
78	15449	23662
79	15639	23458
80	15829	23256
81	16021	23054
82	16214	22856
83	16408	22658
84	16605	22465
85	16801	22271
86	16994	22073
87	17172	21856
88	17369	21663
89	17540	21438
90	17708	21211
91	17873	20982
92	18062	20781
93	18258	20588
94	18447	20389
95	18616	20167
96	18809	19973
97	18999	19774
98	19189	19577
99	19384	19384
100	19578	19190
101	19751	18977
102	19944	18782
103	20140	18591
104	20329	18393
105	20497	18176
106	20667	17962
107	20863	17772
108	21061	17583
109	21253	17388
110	21438	17189
111	21631	16995
112	21827	16805
113	22021	16612
114	22217	16421
115	22410	16228
116	22603	16034
117	22776	15827
118	22972	15636
119	23143	15429
120	23337	15236
121	23509	15030
122	23700	14836
123	23897	14646
124	24089	14453
125	24287	14264
126	24458	14058
127	24647	13864
128	24841	13672
129	25034	13480
130	25217	13282
131	25412	13091
132	25607	12899
133	25801	12708
134	25995	12516
135	26187	12323
136	26382	12132
137	26577	11940
138	26773	11749
139	26966	11556
140	27164	11366
141	27358	11174
142	27555	10983
143	27748	10791
144	27947	10600
145	28141	10408
146	28334	10215
147	28528	10023
148	28719	9830
149	28914	9638
150	29108	9445
151	29300	9252
152	29493	9060
153	29685	8867
154	29880	8674
155	30073	8482
156	30271	8291
157	30464	8098
158	30635	7899
159	30828	7707
160	31022	7514
161	31214	7321
162	31386	7124
163	31581	6932
164	31774	6740
165	31944	6542
166	32138	6350
167	32335	6159
168	32572	5974
169	32771	5783
170	32959	5589
171	33174	5400
172	33386	5210
173	33567	5015
174	33737	4819
175	33930	4626
176	34100	4431
177	34287	4237
178	34481	4045
179	34701	3855
180	34912	3664
181	35132	3474
182	35342	3283
183	35535	3090
184	35732	2897
185	35926	2704
186	36097	2509
187	36292	2316
188	36485	2123
189	36672	1930
190	36868	1737
191	37064	1544
192	37259	1351
193	37456	1158
194	37650	965
195	37835	772
196	38030	579
197	38221	386
198	38414	193
199	38607	0
